S.No,Time,Name,Shelves,Author,Avg Rating,No of Ratings,Score,Voters,,
45,Thu 26-08-2021 10:35:27 AM,The Secret Garden,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Frances Hodgson Burnett,4.13,977369,608781,6692,,
46,Thu 26-08-2021 10:35:27 AM,"A Game of Thrones (A Song of Ice and Fire, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",George R.R. Martin,4.44,2139919,586508,6263,,
47,Thu 26-08-2021 10:35:27 AM,"A Wrinkle in Time (Time Quintet, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Madeleine L'Engle,3.99,1101606,578912,6186,,
48,Thu 26-08-2021 10:35:27 AM,The Outsiders,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",S.E. Hinton (Goodreads Author),4.1,1038250,544292,5881,,
49,Thu 26-08-2021 10:35:27 AM,The Adventures of Huckleberry Finn,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Mark Twain,3.82,1191102,528986,5823,,
50,Thu 26-08-2021 10:35:27 AM,The Lovely Bones,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Alice Sebold,3.83,2126452,522081,5640,,
51,Thu 26-08-2021 10:35:27 AM,The Odyssey,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Homer,3.78,915982,516310,5670,,
52,Thu 26-08-2021 10:35:27 AM,Where the Wild Things Are,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Maurice Sendak,4.21,879777,514839,5611,,
53,Thu 26-08-2021 10:35:27 AM,Green Eggs and Ham,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Dr. Seuss,4.29,671390,509745,5608,,
54,Thu 26-08-2021 10:35:27 AM,Life of Pi,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Yann Martel,3.92,1425001,502760,5441,,
55,Thu 26-08-2021 10:35:27 AM,A Tale of Two Cities,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Charles Dickens,3.85,851098,502110,5508,,
56,Thu 26-08-2021 10:35:27 AM,Water for Elephants,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Sara Gruen (Goodreads Author),4.09,1456084,480133,5174,,
57,Thu 26-08-2021 10:35:27 AM,Lolita,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Vladimir Nabokov,3.88,709847,475018,5119,,
58,Thu 26-08-2021 10:35:27 AM,The Kite Runner,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Khaled Hosseini (Goodreads Author),4.31,2617759,472188,5146,,
59,Thu 26-08-2021 10:35:27 AM,Frankenstein: The 1818 Text,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Mary Wollstonecraft Shelley,3.83,1261460,462732,5172,,
60,Thu 26-08-2021 10:35:27 AM,Slaughterhouse-Five,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Kurt Vonnegut Jr.,4.08,1201540,461829,4997,,
61,Thu 26-08-2021 10:35:27 AM,"The Handmaid's Tale (The Handmaid's Tale, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Margaret Atwood (Goodreads Author),4.12,1623342,458905,5031,,
62,Thu 26-08-2021 10:35:27 AM,"The Giver (The Giver, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Lois Lowry (Goodreads Author),4.13,1964690,451379,4919,,
63,Thu 26-08-2021 10:35:27 AM,"Dune (Dune, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Frank Herbert,4.24,896200,428170,4620,,
64,Thu 26-08-2021 10:35:27 AM,Catch-22,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Joseph Heller,3.98,759859,414928,4529,,
65,Thu 26-08-2021 10:35:27 AM,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",J.K. Rowling,4.62,3060462,413056,4491,,
66,Thu 26-08-2021 10:35:27 AM,Little Women,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Louisa May Alcott,4.1,1818572,412665,4677,,
67,Thu 26-08-2021 10:35:27 AM,The Stand,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Stephen King (Goodreads Author),4.33,667977,404718,4378,,
68,Thu 26-08-2021 10:35:27 AM,"The Pillars of the Earth (Kingsbridge, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Ken Follett (Goodreads Author),4.32,687282,401893,4324,,
69,Thu 26-08-2021 10:35:27 AM,1984,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",George Orwell,4.19,3514043,401496,4361,,
70,Thu 26-08-2021 10:35:27 AM,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Arthur Conan Doyle,4.29,263051,388819,4354,,
71,Thu 26-08-2021 10:35:27 AM,"Watership Down (Watership Down, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Richard  Adams,4.06,452745,380535,4160,,
72,Thu 26-08-2021 10:35:27 AM,Great Expectations,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Charles Dickens,3.78,695912,376180,4321,,
73,Thu 26-08-2021 10:35:27 AM,The Bell Jar,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Sylvia Plath,4.02,660281,371085,4069,,
74,Thu 26-08-2021 10:35:27 AM,Matilda,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Roald Dahl,4.32,734739,367618,4089,,
75,Thu 26-08-2021 10:35:27 AM,Anna Karenina,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Leo Tolstoy,4.06,717514,364575,3994,,
76,Thu 26-08-2021 10:35:27 AM,"The Fellowship of the Ring (The Lord of the Rings, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",J.R.R. Tolkien,4.37,2495529,361726,4072,,
77,Thu 26-08-2021 10:35:27 AM,One Flew Over the Cuckoo's Nest,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Ken Kesey,4.19,667203,357843,4054,,
78,Thu 26-08-2021 10:35:27 AM,"Outlander (Outlander, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Diana Gabaldon (Goodreads Author),4.23,898620,355098,3804,,
79,Thu 26-08-2021 10:35:27 AM,"The Girl with the Dragon Tattoo (Millennium, #1)","Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Stieg Larsson,4.14,2793938,351195,3920,,
80,Thu 26-08-2021 10:35:27 AM,My Sister's Keeper,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Jodi Picoult (Goodreads Author),4.08,1105232,347496,3826,,
81,Thu 26-08-2021 10:35:27 AM,Rebecca,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Daphne du Maurier,4.23,511802,347173,3896,,
82,Thu 26-08-2021 10:35:27 AM,The Color Purple,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Alice Walker,4.23,565768,333754,3790,,
83,Thu 26-08-2021 10:35:27 AM,A Tree Grows in Brooklyn,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Betty  Smith,4.27,409661,316631,3487,,
84,Thu 26-08-2021 10:35:27 AM,The Brothers Karamazov,"Want to Read
saving…













Error rating book. Refresh and try again.

Rate this book
Clear rating
1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars",Fyodor Dostoyevsky,4.32,265917,312818,3457,,
